"","site_group","reg_Total","reg_Up","reg_Down","can_Total","can_Up","can_Down"
"Not defective","Not defective",36.3636363636364,37.5494071146245,31.8181818181818,56.9444444444444,54.6875,75
"Defective","Defective",63.6363636363636,62.4505928853755,68.1818181818182,43.0555555555556,45.3125,25
