"","CHOW_ES","CHOW_pval","CHOW_adj_pval","CHOW_num_subs","HFD_ES","HFD_pval","HFD_adj_pval","HFD_num_subs","REV_ES","REV_pval","REV_adj_pval","REV_num_subs"
"GSK3",-0.665844737024071,0,0,168,-0.369231722672775,0,0,167,-0.522356495228381,0,0,161
"GSK3_copy",-0.665844737024071,0,0,168,-0.369231722672775,0,0,167,-0.522356495228381,0,0,161
