"","HFD_on_CHOW_BAS_ES","HFD_on_CHOW_BAS_pval","HFD_on_CHOW_BAS_adj_pval","HFD_on_CHOW_BAS_num_subs","REV_on_CHOW_BAS_ES","REV_on_CHOW_BAS_pval","REV_on_CHOW_BAS_adj_pval","REV_on_CHOW_BAS_num_subs","HFD_on_CHOW_INS_ES","HFD_on_CHOW_INS_pval","HFD_on_CHOW_INS_adj_pval","HFD_on_CHOW_INS_num_subs","REV_on_CHOW_INS_ES","REV_on_CHOW_INS_pval","REV_on_CHOW_INS_adj_pval","REV_on_CHOW_INS_num_subs"
"GSK3",-0.262157389324045,0.044,0.053,168,-0.288107602282954,0.008,0.01,167,0.409122793250649,0,0,167,0.211409799011992,0.265,0.236,162
"GSK3_copy",-0.262157389324045,0.044,0.059,168,-0.288107602282954,0.006,0.005,167,0.409122793250649,0,0,167,0.211409799011992,0.247,0.247,162
