"","HFD_FC_on_CHOW_ES","HFD_FC_on_CHOW_pval","HFD_FC_on_CHOW_adj_pval","HFD_FC_on_CHOW_num_subs","REV_FC_on_CHOW_ES","REV_FC_on_CHOW_pval","REV_FC_on_CHOW_adj_pval","REV_FC_on_CHOW_num_subs"
"GSK3",0.454130061658406,0,0,167,0.303415900308273,0.004,0.006,161
"GSK3_copy",0.454130061658406,0,0,167,0.303415900308273,0.003,0.004,161
